"Date","Price","Open","High","Low","Vol.","Change %"
"02/14/2021","1271.45","1264.25","1272.20","1264.00","","0.79%"
"02/12/2021","1261.50","1246.00","1265.80","1225.00","0.38K","0.94%"
"02/11/2021","1249.80","1248.80","1282.40","1237.70","0.43K","0.01%"
"02/10/2021","1249.70","1199.10","1265.70","1199.10","0.88K","4.44%"
"02/09/2021","1196.60","1180.00","1208.00","1180.00","0.39K","1.64%"
"02/08/2021","1177.30","1140.60","1188.80","1140.60","0.33K","2.79%"
"02/07/2021","1145.40","1134.20","1152.20","1134.20","","0.82%"
"02/05/2021","1136.10","1110.30","1140.60","1110.00","0.26K","2.80%"
"02/04/2021","1105.20","1114.40","1114.40","1088.00","0.44K","-1.05%"
"02/03/2021","1116.90","1106.00","1117.20","1103.00","0.26K","1.74%"
"02/02/2021","1097.80","1136.80","1136.80","1095.70","0.24K","-3.73%"
"02/01/2021","1140.30","1098.00","1143.00","1098.00","1.24K","3.84%"
"01/31/2021","1098.10","1086.05","1109.00","1086.05","","1.36%"
"01/29/2021","1083.40","1081.40","1124.00","1079.10","0.23K","0.64%"
"01/28/2021","1076.50","1072.70","1108.00","1059.80","0.29K","-0.23%"
"01/27/2021","1079.00","1108.00","1108.00","1064.10","14.02K","-2.56%"
"01/26/2021","1107.40","1104.70","1113.80","1085.00","8.66K","0.24%"
"01/25/2021","1104.70","1110.20","1125.30","1086.20","12.13K","-0.69%"
"01/24/2021","1112.35","1111.10","1117.10","1110.10","","0.07%"
"01/22/2021","1111.60","1137.10","1138.80","1092.60","13.14K","-1.45%"
"01/21/2021","1128.00","1121.00","1163.40","1105.80","17.10K","1.04%"
"01/20/2021","1116.40","1093.30","1124.20","1085.40","10.77K","2.23%"
"01/19/2021","1092.00","1079.80","1109.70","1072.00","14.72K","-0.56%"
"01/18/2021","1098.10","1072.30","1100.00","1072.30","","2.41%"
"01/17/2021","1072.30","1079.20","1089.10","1072.20","","-1.61%"
"01/15/2021","1089.90","1126.60","1129.90","1076.50","13.51K","-3.24%"
"01/14/2021","1126.40","1104.70","1130.00","1101.00","9.13K","1.41%"
"01/13/2021","1110.70","1077.50","1113.10","1067.00","13.76K","4.02%"
"01/12/2021","1067.80","1040.00","1083.00","1040.00","13.03K","2.22%"
"01/11/2021","1044.60","1075.00","1077.70","1011.00","18.67K","-1.06%"
"01/10/2021","1055.80","1073.85","1077.60","1038.40","","-1.45%"
"01/08/2021","1071.30","1129.90","1139.70","1058.40","20.39K","-4.74%"
"01/07/2021","1124.60","1107.60","1132.00","1098.00","12.16K","1.30%"
