Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,60.740002,61.240002,60.000000,60.380001,52.136917,809498
2021-02-16,60.779999,61.799999,60.400002,61.599998,53.190357,1547688
2021-02-17,61.599998,62.299999,60.740002,61.139999,52.793156,1155257
2021-02-18,61.080002,61.560001,59.020000,59.020000,50.962582,1283338
2021-02-19,59.320000,60.919998,59.200001,60.680000,52.395958,1119972
2021-02-22,60.299999,60.459999,59.360001,59.520000,51.394318,698001
2021-02-23,59.900002,61.439999,58.779999,59.720001,51.567020,1388688
2021-02-24,60.020000,60.340000,59.240002,59.959999,51.774250,1475266
2021-02-25,61.000000,61.459999,59.900002,59.919998,51.739708,1401721
2021-02-26,58.259998,59.500000,58.099998,58.840000,50.807156,1970795
2021-03-01,60.000000,60.500000,59.220001,60.400002,52.154186,1098901
2021-03-02,60.400002,61.160000,59.700001,60.900002,52.585922,1054364
2021-03-03,60.919998,61.740002,60.180000,60.200001,51.981487,1191567
2021-03-04,60.000000,61.799999,59.599998,61.480000,53.086739,1622898
2021-03-05,61.020000,64.900002,61.020000,63.759998,55.055473,3120582
2021-03-08,64.900002,67.400002,64.599998,66.660004,57.559570,3281325
2021-03-09,66.720001,67.900002,66.300003,67.059998,57.904957,2043527
2021-03-10,67.800003,69.879997,67.320000,69.440002,59.960041,2398086
2021-03-11,69.599998,70.900002,67.559998,68.480003,59.131100,1844597
2021-03-12,68.400002,69.480003,67.419998,69.120003,59.683727,1021619
2021-03-15,69.099998,70.199997,68.320000,68.360001,59.027485,846587
2021-03-16,68.419998,69.099998,66.000000,66.459999,57.386868,1422386
2021-03-17,65.980003,66.160004,62.500000,65.339996,56.419769,3137659
2021-03-18,65.099998,66.480003,64.199997,65.139999,56.247078,1097752
2021-03-19,63.119999,64.720001,63.080002,63.680000,54.986397,1966656
2021-03-22,63.000000,64.900002,62.660000,64.080002,55.331791,730421
2021-03-23,64.199997,64.260002,62.299999,63.040001,54.433769,897101
2021-03-24,62.400002,63.680000,62.000000,62.820000,54.243801,1085362
2021-03-25,62.700001,63.180000,61.500000,61.900002,53.449402,1089836
2021-03-26,62.380001,64.040001,61.799999,63.040001,54.433769,1149521
2021-03-29,63.000000,65.480003,63.000000,64.099998,55.349056,1033682
2021-03-30,64.379997,65.199997,63.540001,64.580002,55.763527,959672
2021-03-31,64.879997,64.959999,63.360001,63.459999,54.796432,1131355
2021-04-01,63.500000,64.559998,63.480000,64.199997,55.435402,875338
2021-04-02,64.199997,64.199997,64.199997,64.199997,55.435402,0
2021-04-05,64.199997,64.199997,64.199997,64.199997,55.435402,0
2021-04-06,64.019997,66.400002,64.019997,66.199997,57.162365,1806221
2021-04-07,66.480003,67.779999,66.220001,66.400002,57.335064,1887591
2021-04-08,67.080002,67.120003,64.559998,64.599998,55.780792,1224734
2021-04-09,64.699997,65.400002,63.799999,64.620003,55.798069,783338
2021-04-12,64.580002,65.180000,63.520000,64.800003,55.953499,631664
2021-04-13,64.940002,64.940002,63.540001,63.560001,54.882782,894740
2021-04-14,63.900002,65.599998,63.700001,65.599998,56.644276,824090
2021-04-15,65.879997,67.639999,65.739998,67.379997,58.181271,1982913
2021-04-16,67.379997,67.720001,66.379997,67.160004,57.991306,972165
2021-04-19,67.000000,67.639999,66.099998,66.260002,57.214176,988365
2021-04-20,66.379997,67.419998,65.900002,66.199997,57.162365,999486
2021-04-21,65.919998,66.599998,65.599998,66.419998,57.352329,685119
2021-04-22,66.500000,67.599998,66.500000,66.940002,57.801342,1359071
2021-04-23,66.760002,66.879997,65.720001,66.500000,57.421410,920236
2021-04-26,66.680000,66.940002,65.800003,66.760002,57.645916,650857
2021-04-27,66.919998,67.059998,66.220001,66.919998,57.784069,1096936
2021-04-28,67.099998,67.360001,66.360001,67.160004,57.991306,966422
2021-04-29,67.699997,68.860001,67.500000,67.500000,58.284889,1368129
2021-04-30,68.239998,68.239998,66.699997,66.720001,57.611378,895726
2021-05-03,66.720001,66.720001,66.720001,66.720001,57.611378,0
2021-05-04,67.180000,68.220001,66.599998,67.120003,57.956764,1549824
2021-05-05,67.639999,69.160004,67.339996,69.059998,59.631916,1291006
2021-05-06,69.300003,71.000000,68.419998,68.900002,59.493763,2082013
2021-05-07,70.000000,70.400002,69.260002,70.019997,60.460854,1104632
2021-05-10,70.300003,72.500000,70.300003,71.779999,61.980583,1441014
2021-05-11,71.720001,72.300003,70.739998,72.199997,62.343243,1228740
2021-05-12,72.199997,73.959999,71.059998,73.199997,63.206726,1777537
2021-05-13,72.500000,74.440002,71.540001,74.000000,63.897507,1988038
2021-05-14,74.739998,76.860001,74.500000,76.459999,66.021667,1510065
2021-05-17,77.000000,77.900002,75.480003,76.459999,66.021667,1435615
2021-05-18,77.139999,77.500000,76.300003,76.800003,66.315254,1034392
2021-05-19,76.300003,76.320000,74.559998,75.199997,64.933685,1569108
2021-05-20,75.199997,76.959999,74.800003,76.900002,66.401596,859182
2021-05-21,77.000000,77.480003,76.000000,76.000000,65.624466,765829
2021-05-24,76.000000,76.559998,75.500000,75.699997,65.365425,669121
2021-05-25,76.419998,76.419998,75.059998,76.080002,65.693542,1188767
2021-05-26,76.120003,76.760002,75.599998,76.760002,66.280708,788510
2021-05-27,76.680000,78.720001,76.160004,78.279999,67.593201,2013838
2021-05-28,78.360001,79.980003,78.360001,79.940002,69.026581,981915
2021-05-31,80.120003,82.680000,79.800003,81.800003,70.632652,1053956
2021-06-01,81.800003,84.239998,81.199997,81.680000,70.529037,1242420
2021-06-02,81.699997,82.519997,80.320000,81.180000,70.097290,1021485
2021-06-03,null,null,null,null,null,null
2021-06-04,81.459999,82.360001,80.980003,81.540001,70.408150,678206
2021-06-07,81.779999,83.339996,81.320000,81.540001,70.408150,534915
2021-06-08,81.500000,81.680000,80.379997,81.000000,69.941872,747786
2021-06-09,81.500000,81.820000,78.900002,80.279999,69.320160,1391975
2021-06-10,80.000000,82.779999,79.580002,82.779999,71.478859,1112111
2021-06-11,82.519997,82.599998,80.900002,81.339996,70.235451,611979
2021-06-14,81.779999,83.099998,81.580002,83.099998,71.755173,709679
2021-06-15,83.419998,83.620003,81.980003,82.379997,71.133469,762763
2021-06-16,82.260002,83.339996,80.900002,80.900002,69.855522,998000
2021-06-17,80.680000,82.279999,80.500000,81.400002,70.287254,865020
2021-06-18,81.239998,81.400002,77.940002,78.519997,67.800438,3055250
2021-06-21,78.320000,79.459999,76.580002,79.080002,68.283989,853056
2021-06-22,80.260002,80.779999,79.199997,79.480003,68.629379,847395
2021-06-23,79.940002,80.199997,79.540001,79.699997,68.819344,484639
2021-06-24,79.980003,80.099998,78.940002,79.839996,68.940231,866538
2021-06-25,79.980003,80.400002,79.019997,79.379997,68.543022,637682
2021-06-28,79.300003,79.379997,78.620003,79.000000,68.214905,348151
2021-06-29,78.519997,78.559998,75.720001,77.000000,66.487946,1271108
2021-06-30,77.080002,77.500000,75.860001,76.779999,66.297974,1038005
2021-07-01,76.980003,79.180000,76.800003,77.820000,67.196007,909297
2021-07-02,78.500000,79.000000,77.419998,77.419998,66.850601,485931
2021-07-05,77.699997,78.339996,77.419998,77.800003,67.178741,446547
2021-07-06,78.099998,78.500000,75.519997,75.680000,65.348152,677512
2021-07-07,75.680000,76.300003,74.660004,75.000000,64.760986,1422837
2021-07-08,75.000000,75.059998,72.320000,73.360001,63.344883,1522907
2021-07-09,73.720001,74.879997,73.040001,74.540001,64.363792,1030390
2021-07-12,74.620003,75.699997,74.059998,75.500000,65.192726,698125
2021-07-13,75.800003,75.820000,74.300003,74.419998,64.260170,568645
2021-07-14,75.000000,75.559998,74.800003,75.279999,65.002762,528446
2021-07-15,74.519997,75.500000,73.919998,74.080002,63.966591,957093
2021-07-16,74.099998,74.779999,74.000000,74.120003,64.001129,642948
2021-07-19,74.120003,74.320000,71.120003,71.680000,61.894234,1365428
2021-07-20,72.000000,73.120003,71.239998,72.500000,62.602291,1125584
2021-07-21,69.680000,70.800003,69.199997,70.440002,63.908779,824569
2021-07-22,70.639999,70.879997,68.699997,68.720001,62.348251,1024312
2021-07-23,68.660004,69.500000,68.419998,69.400002,62.965202,642543
2021-07-26,69.400002,70.860001,68.400002,70.339996,63.818043,737904
2021-07-27,70.379997,70.519997,69.220001,69.440002,63.001495,539242
2021-07-28,69.680000,71.959999,69.680000,71.540001,64.906784,926710
2021-07-29,73.559998,74.279999,72.540001,72.540001,65.814056,1872315
2021-07-30,72.540001,73.120003,72.220001,72.940002,66.176971,1121449
2021-08-02,73.800003,73.800003,72.019997,72.239998,65.541878,651884
2021-08-03,73.620003,74.860001,72.660004,73.680000,66.848358,1423272
2021-08-04,74.000000,74.599998,73.339996,73.919998,67.066101,649992
2021-08-05,74.279999,74.919998,73.540001,74.699997,67.773781,712827
2021-08-06,74.500000,74.639999,73.220001,74.000000,67.138687,709794
2021-08-09,73.879997,73.900002,72.919998,72.919998,66.158829,366154
2021-08-10,72.900002,74.120003,72.800003,73.940002,67.084251,522804
2021-08-11,73.779999,74.800003,73.699997,74.500000,67.592331,644254
2021-08-12,74.500000,75.839996,74.220001,75.580002,68.572189,641279
2021-08-13,75.760002,75.760002,74.339996,75.000000,68.045967,464549
2021-08-16,74.639999,75.599998,73.839996,73.980003,67.120544,463766
2021-08-17,73.879997,74.220001,73.519997,74.199997,67.320137,478575
2021-08-18,74.199997,74.199997,73.019997,73.379997,66.576172,438490
2021-08-19,72.500000,72.500000,69.839996,70.739998,64.180954,1332280
2021-08-20,70.720001,71.500000,70.099998,71.419998,64.797905,579153
2021-08-23,71.760002,72.919998,71.760002,72.500000,65.777771,893294
2021-08-24,73.000000,74.480003,72.820000,74.360001,67.465309,849828
2021-08-25,74.300003,74.300003,73.360001,74.239998,67.356430,420687
2021-08-26,74.000000,74.000000,72.699997,72.699997,65.959221,451476
2021-08-27,72.879997,73.660004,72.300003,73.559998,66.739487,319244
2021-08-30,73.559998,74.120003,73.320000,73.959999,67.102394,438976
2021-08-31,73.959999,74.879997,73.180000,74.300003,67.410873,1798821
2021-09-01,74.500000,74.660004,73.639999,73.639999,66.812065,530211
2021-09-02,73.540001,73.900002,72.000000,73.500000,66.685051,799618
2021-09-03,73.739998,74.680000,73.339996,74.360001,67.465309,596722
2021-09-06,74.279999,74.500000,73.660004,74.500000,67.592331,270214
2021-09-07,74.400002,75.440002,74.139999,75.160004,68.191139,732107
2021-09-08,74.980003,75.800003,73.919998,75.180000,68.209282,920646
2021-09-09,74.739998,75.180000,74.260002,74.599998,67.683052,648506
2021-09-10,74.839996,75.000000,74.099998,74.540001,67.628624,528048
2021-09-13,74.959999,76.980003,74.400002,76.980003,69.842384,1099096
2021-09-14,77.000000,80.720001,76.739998,80.500000,73.036003,2020430
2021-09-15,80.199997,80.300003,78.559998,79.300003,71.947273,1433676
2021-09-16,79.180000,79.199997,76.860001,77.099998,69.951256,1005818
2021-09-17,77.220001,77.760002,75.519997,76.080002,69.025826,2438693
2021-09-20,75.099998,75.540001,72.519997,74.220001,67.338287,1127073
2021-09-21,74.220001,75.980003,74.220001,75.059998,68.100403,796050
2021-09-22,75.500000,77.779999,75.500000,77.500000,70.314163,605559
2021-09-23,78.400002,78.559998,76.120003,76.440002,69.352455,742725
2021-09-24,76.519997,78.900002,76.220001,78.900002,71.584358,1576017
2021-09-27,79.099998,80.379997,79.040001,79.820000,72.419060,1588099
